owner,Gender,isGenderNeutral,totalCommit,revExp,review_count,tenure
1000133,0,1,4,0,0,1
1000133,0,1,8,0,0,8
1000133,0,1,10,0,0,9
1000133,0,1,12,0,0,18
1000162,0,1,2,0,0,1
1000205,0,1,1,1,2,1
1000205,0,1,12,14,21,3
1000205,0,1,27,28,1,4
1000205,0,1,35,29,0,5
1000205,0,1,41,33,6,6
1000205,0,1,49,37,1,7
1000205,0,1,54,40,0,8
1000205,0,1,59,41,0,9
1000205,0,1,67,49,0,10
1000205,0,1,71,49,0,11
1000205,0,1,76,54,6,12
1000205,0,1,84,72,0,16
1000205,0,1,87,74,0,17
1000205,0,1,89,74,0,18
1000205,0,1,91,81,0,19
1000205,0,1,92,84,0,21
1000205,0,1,93,92,0,23
1000205,0,1,95,97,0,25
1000205,0,1,97,99,0,26
1000205,0,1,101,108,0,27
1000205,0,1,108,110,5,28
1000205,0,1,116,122,0,31
1000205,0,1,121,126,0,32
1000205,0,1,123,144,1,47
1000205,0,1,125,189,0,61
1000205,0,1,127,190,1,62
1000205,0,1,130,194,0,63
1000205,0,1,138,206,5,64
1000205,0,1,145,208,0,65
1000205,0,1,149,232,0,67
1000205,0,1,153,238,0,70
1000205,0,1,155,238,0,71
1000205,0,1,160,244,2,72
1000205,0,1,164,244,0,73
1000205,0,1,168,256,0,80
1000205,0,1,174,256,0,81
1000205,0,1,188,260,6,82
1000205,0,1,202,275,12,83
1000205,0,1,211,286,2,84
1000205,0,1,218,301,0,88
1000205,0,1,220,308,0,89
1000205,0,1,226,332,27,91
1000205,0,1,230,340,10,92
1000205,0,1,235,360,0,94
1000205,0,1,236,365,0,95
1000205,0,1,242,373,0,96
1000205,0,1,249,418,0,98
1000205,0,1,252,433,0,100
1000205,0,1,259,500,0,104
1000205,0,1,265,547,0,107
1000205,0,1,277,576,11,108
1000205,0,1,290,592,1,109
1000205,0,1,297,616,4,110
1000205,0,1,283,563,120,111
1000205,0,1,306,669,0,115
1000205,0,1,315,685,26,117
1000205,0,1,330,742,6,119
1000205,0,1,338,725,368,120
1000205,0,1,354,764,0,121
