owner,Gender,isGenderNeutral,totalCommit,revExp,review_count,tenure
1000000,0,1,56,51,82,1
1000000,0,1,183,145,106,2
1000000,0,1,281,224,47,3
1000000,0,1,349,272,59,4
1000000,0,1,450,362,93,5
1000000,0,1,555,412,54,6
1000000,0,1,638,484,62,7
1000000,0,1,723,538,42,8
1000000,0,1,785,589,29,9
1000000,0,1,811,630,33,10
1000000,0,1,853,662,26,11
1000000,0,1,888,688,8,12
1000000,0,1,919,715,58,13
1000000,0,1,966,795,84,14
1000000,0,1,1008,870,43,15
1000000,0,1,1040,905,34,16
1000000,0,1,1052,937,18,17
1000000,0,1,1060,962,14,18
1000000,0,1,1075,975,13,19
1000000,0,1,1087,998,17,20
1000000,0,1,1097,1030,24,21
1000000,0,1,1118,1058,29,22
1000000,0,1,1137,1083,10,23
1000000,0,1,1142,1133,0,25
1000000,0,1,1145,1133,0,26
1000000,0,1,1147,1146,1,28
1000001,0,1,20,22,40,1
1000001,0,1,113,80,68,2
1000001,0,1,235,134,25,3
1000001,0,1,321,157,19,4
1000001,0,1,419,188,35,5
1000001,0,1,521,219,38,6
1000001,0,1,576,310,63,7
1000001,0,1,599,381,7,8
1000001,0,1,616,392,6,9
1000001,0,1,648,417,48,10
1000001,0,1,676,466,23,11
1000001,0,1,690,471,1,12
1000002,0,0,17,34,59,1
1000002,0,0,45,62,6,2
1000002,0,0,82,83,10,3
1000002,0,0,133,89,17,4
1000002,0,0,185,110,13,5
1000002,0,0,223,121,8,6
1000002,0,0,254,135,21,7
1000002,0,0,282,152,5,8
1000002,0,0,293,166,5,9
1000002,0,0,309,184,20,10
1000002,0,0,338,240,65,11
1000002,0,0,374,294,35,12
1000002,0,0,423,348,53,13
1000002,0,0,480,407,48,14
1000002,0,0,519,440,34,15
1000002,0,0,576,464,9,16
1000002,0,0,632,485,24,17
1000002,0,0,660,507,23,18
1000002,0,0,690,547,36,19
1000002,0,0,734,593,42,20
1000002,0,0,792,651,41,21
1000002,0,0,841,708,70,22
1000002,0,0,915,816,84,23
1000002,0,0,983,867,45,24
