"id","Gender","isGenderNeutral","totalCommit","revExp","review_count","tenure"
"5","0","0","2","0","0","1"
"5","0","0","3","0","0","2"
"8","0","1","0","0","0","1"
"11","0","1","1","1","0","1"
"26","0","0","1","0","0","1"
"32","0","0","1","2","2","1"
"47","0","1","0","0","0","1"
"79","0","1","1","2","0","1"
"80","0","0","1","0","0","1"
"84","0","0","0","0","0","1"
"86","0","0","1","0","0","1"
"89","0","0","0","0","0","1"
"109","0","0","6","3","4","1"
"109","0","0","18","10","11","2"
"109","0","0","26","17","0","3"
"109","0","0","29","20","1","4"
"109","0","0","32","21","0","5"
"109","0","0","34","25","1","8"
"109","0","0","37","28","5","9"
"109","0","0","42","37","4","11"
"109","0","0","60","49","17","12"
"109","0","0","74","58","0","13"
"109","0","0","77","62","2","14"
"109","0","0","83","63","0","15"
"109","0","0","96","71","14","16"
"109","0","0","105","81","0","17"
"109","0","0","106","81","0","18"
"109","0","0","108","81","0","19"
"109","0","0","110","83","0","20"
"109","0","0","112","84","0","22"
"109","0","0","114","85","0","23"
"109","0","0","116","85","0","24"
"109","0","0","117","85","0","26"
"109","0","0","119","86","0","27"
"112","0","1","0","0","0","1"
"136","0","0","0","0","0","1"
"168","0","0","4","3","3","1"
"197","0","0","1","0","0","1"
"197","0","0","3","1","1","2"
"217","0","0","2","1","1","1"
"217","0","0","3","1","0","15"
"225","0","1","2","1","0","1"
"251","0","0","0","0","0","1"
"330","0","1","3","2","2","1"
"339","0","0","2","0","0","1"
"348","0","1","1","0","0","1"
"351","0","0","1","0","0","1"
"389","0","0","1","0","0","1"
"390","0","1","1","3","1","1"
"405","0","0","1","0","0","1"
"454","0","1","0","0","0","1"
"462","0","0","0","0","0","1"
"465","0","0","0","2","0","1"
"465","0","0","1","6","0","19"
"465","0","0","2","7","0","20"
"507","0","1","1","0","0","1"
"522","0","0","0","0","0","1"
"529","0","0","0","3","0","1"
"529","0","0","1","6","0","31"
"540","0","0","0","0","0","1"
"554","0","0","0","0","0","1"
"559","0","1","1","0","0","1"
"560","0","0","3","0","0","1"
"633","0","0","0","0","0","1"
"651","0","0","1","0","0","1"
"682","0","0","1","1","0","1"
"686","0","1","1","0","0","1"
"746","0","0","1","0","0","1"
"746","0","0","2","0","0","3"
"777","0","1","8","8","15","1"
"777","0","1","19","19","2","2"
"777","0","1","24","26","4","3"
"777","0","1","27","29","1","8"
"777","0","1","30","34","2","12"
"777","0","1","32","36","0","28"
"777","0","1","33","36","0","60"
"792","0","0","1","0","0","1"
"792","0","0","1","1","0","4"
"792","0","0","2","5","0","8"
"792","0","0","4","5","0","9"
"796","0","1","1","26","2","1"
"813","0","0","2","0","0","1"
"823","0","0","1","0","0","1"
"844","0","0","1","1","1","1"
"844","0","0","2","1","0","2"
"852","0","0","1","0","0","1"
"857","0","1","0","15","0","1"
"857","0","1","2","19","0","3"
"857","0","1","3","20","0","5"
"857","0","1","5","37","1","6"
"857","0","1","7","40","0","7"
"857","0","1","10","53","5","9"
"857","0","1","14","61","2","10"
"857","0","1","17","79","2","14"
"857","0","1","20","84","5","15"
"857","0","1","21","87","0","16"
"857","0","1","25","93","4","18"
"857","0","1","29","93","0","19"
"857","0","1","32","98","0","20"
"857","0","1","37","103","4","21"
"857","0","1","41","105","1","22"
"857","0","1","44","109","0","24"
"857","0","1","45","111","0","25"
"857","0","1","47","114","1","26"
"857","0","1","51","116","2","27"
"857","0","1","55","127","0","31"
"858","0","0","0","0","0","1"
"858","0","0","7","12","15","6"
"858","0","0","13","20","0","7"
"858","0","0","16","43","4","10"
"858","0","0","20","47","1","14"
"859","0","0","2","8","22","1"
"859","0","0","2","2","0","2"
"859","0","0","2","17","0","3"
"859","0","0","3","20","0","7"
"859","0","0","4","24","8","8"
"859","0","0","4","41","0","9"
"859","0","0","5","43","0","10"
"859","0","0","5","97","0","30"
"859","0","0","5","26","0","38"
"859","0","0","5","121","0","106"
"862","0","0","0","1","0","1"
"867","0","0","0","0","0","1"
"872","0","0","1","2","0","1"
"873","0","0","1","0","0","1"
"896","0","0","1","0","0","1"
"896","0","0","2","30","0","12"
"896","0","0","3","41","0","14"
"896","0","0","3","49","0","16"
"896","0","0","4","51","0","17"
"896","0","0","5","54","0","18"
"896","0","0","8","78","4","20"
"896","0","0","18","112","7","22"
"896","0","0","29","117","4","23"
"896","0","0","53","153","48","24"
"896","0","0","76","180","3","25"
"896","0","0","81","240","10","26"
"896","0","0","84","285","0","30"
"896","0","0","85","345","0","40"
"901","0","0","1","0","0","1"
"901","0","0","2","1","0","2"
"989","0","0","2","0","0","1"
"991","0","1","1","0","0","1"
"991","0","1","2","0","0","4"
"991","0","1","3","0","0","6"
"991","0","1","4","0","0","7"
"991","0","1","5","0","0","9"
"992","0","1","7","4","5","1"
"992","0","1","15","12","3","3"
"992","0","1","17","20","1","4"
"992","0","1","20","26","3","5"
"992","0","1","25","33","2","6"
"992","0","1","31","42","10","7"
"992","0","1","37","51","3","8"
"992","0","1","39","57","1","10"
"992","0","1","41","76","0","14"
"992","0","1","43","86","7","16"
"992","0","1","45","98","0","19"
"992","0","1","46","99","0","20"
"995","0","0","2","1","2","1"
"1001","0","0","3","13","24","1"
"1001","0","0","7","32","0","4"
"1058","0","0","1","0","0","1"
"1062","0","0","1","0","0","1"
"1063","0","0","2","5","1","1"
"1103","0","1","0","0","0","1"
"1120","0","0","0","0","0","1"
"1145","0","1","1","2","0","1"
"1145","0","1","2","4","0","22"
"1161","0","1","0","2","0","1"
"1174","1","0","2","1","0","1"
"1174","1","0","3","1","0","4"
"1181","0","1","1","0","0","1"
"1182","0","0","1","0","0","1"
"1182","0","0","1","2","0","12"
"1182","0","0","4","3","0","16"
"1182","0","0","8","6","2","19"
"1183","0","0","3","2","3","1"
"1183","0","0","4","3","0","86"
"1184","0","1","0","0","0","1"
"1184","0","1","1","0","0","10"
"1194","0","0","1","0","0","1"
"1281","0","1","1","0","0","1"
"1281","0","1","1","0","0","2"
"1281","0","1","2","0","0","13"
"1281","0","1","2","0","0","17"
"1304","0","1","0","0","0","1"
"1304","0","1","1","1","0","6"
"1305","0","1","1","0","0","1"
"1316","0","0","1","0","0","1"
"1320","0","0","2","0","0","1"
"1352","0","0","1","0","0","1"
"1446","0","1","0","0","0","1"
"1463","0","0","1","0","0","1"
"1474","0","0","1","0","0","1"
"1477","0","0","0","0","0","1"
"1491","0","1","1","0","0","1"
"1494","0","0","0","0","0","1"
"1507","0","0","0","0","0","1"
"1512","0","1","2","6","11","1"
"1512","0","1","3","2","0","2"
"1512","0","1","4","3","0","3"
"1512","0","1","5","4","0","6"
"1512","0","1","6","5","0","9"
"1512","0","1","7","9","0","13"
"1512","0","1","5","15","7","16"
"1512","0","1","5","18","0","17"
"1512","0","1","6","18","0","18"
"1512","0","1","8","19","0","20"
"1512","0","1","9","12","0","21"
"1512","0","1","9","19","0","22"
"1512","0","1","11","19","0","24"
"1512","0","1","12","20","0","25"
"1512","0","1","14","20","0","28"
"1512","0","1","17","20","0","29"
"1512","0","1","21","21","1","30"
"1512","0","1","24","21","0","31"
"1542","0","0","1","1","0","1"
"1544","0","0","1","0","0","1"
"1550","0","1","2","0","0","1"
"1550","0","1","3","0","0","2"
"1550","0","1","2","0","0","3"
"1550","0","1","3","1","0","6"
"1550","0","1","3","0","0","12"
"1550","0","1","3","0","0","14"
"1550","0","1","4","0","0","17"
"1550","0","1","2","0","0","21"
"1556","0","0","1","0","0","1"
"1558","0","1","1","1","1","1"
"1563","0","0","3","11","3","1"
"1563","0","0","5","13","0","2"
"1563","0","0","6","17","0","5"
"1563","0","0","7","17","0","6"
"1563","0","0","8","24","0","13"
"1563","0","0","9","24","0","14"
"1568","0","0","1","1","0","1"
"1591","0","0","1","0","0","1"
"1604","0","0","0","1","0","1"
"1604","0","0","1","11","0","4"
"1604","0","0","2","12","0","5"
"1604","0","0","3","13","0","6"
"1620","0","0","1","0","0","1"
"1628","0","1","2","1","1","1"
"1628","0","1","2","1","0","7"
"1628","0","1","3","4","0","10"
"1628","0","1","3","2","0","11"
"1628","0","1","5","4","1","13"
"1628","0","1","6","7","0","15"
