"id","Gender","isGenderNeutral","totalCommit","revExp","review_count","tenure"
"5","0","0","1","0","0","1"
"66","0","1","1","2","1","1"
"109","0","0","1","2","3","1"
"109","0","0","3","7","1","2"
"168","0","0","1","0","0","1"
"186","1","1","1","0","0","1"
"186","1","1","3","0","0","31"
"216","0","0","1","0","0","1"
"333","0","0","1","2","0","1"
"335","0","0","2","3","3","1"
"335","0","0","5","5","0","3"
"335","0","0","7","8","0","5"
"335","0","0","2","4","0","7"
"335","0","0","8","9","0","8"
"335","0","0","9","9","0","10"
"335","0","0","10","9","0","12"
"335","0","0","11","11","0","13"
"335","0","0","12","11","0","14"
"335","0","0","8","8","7","15"
"335","0","0","15","12","0","17"
"335","0","0","17","15","1","19"
"335","0","0","18","15","0","20"
"335","0","0","19","15","0","21"
"335","0","0","21","17","0","22"
"335","0","0","29","18","2","23"
"335","0","0","49","23","4","24"
"335","0","0","70","29","5","25"
"335","0","0","79","31","2","26"
"335","0","0","80","35","0","27"
"335","0","0","89","38","4","29"
"335","0","0","100","47","9","31"
"335","0","0","110","56","5","32"
"335","0","0","120","58","1","33"
"335","0","0","125","60","1","35"
"335","0","0","128","62","0","36"
"335","0","0","129","65","0","37"
"335","0","0","130","65","0","38"
"335","0","0","131","65","0","39"
"335","0","0","132","66","0","40"
"335","0","0","134","67","0","41"
"335","0","0","135","67","0","43"
"335","0","0","136","67","0","44"
"335","0","0","137","69","0","49"
"335","0","0","139","69","0","58"
"335","0","0","140","70","0","60"
"390","0","1","1","0","0","1"
"395","0","0","1","1","1","1"
"418","1","0","0","0","0","1"
"465","0","0","0","0","0","1"
"474","0","0","1","0","0","1"
"511","0","0","0","0","0","1"
"511","0","0","3","11","4","10"
"511","0","0","7","35","2","12"
"511","0","0","8","40","0","13"
"511","0","0","9","51","0","15"
"511","0","0","11","56","2","17"
"511","0","0","14","66","4","20"
"511","0","0","17","70","0","21"
"517","0","0","1","0","0","1"
"529","0","0","2","1","1","1"
"604","0","1","1","0","0","1"
"617","0","0","1","0","0","1"
"630","0","0","1","0","0","1"
"633","0","0","2","2","2","1"
"639","0","0","1","0","0","1"
"640","0","1","1","0","0","1"
"640","0","1","3","4","1","2"
"640","0","1","3","4","0","14"
"640","0","1","4","5","0","15"
"777","0","1","5","16","29","1"
"798","0","0","1","1","0","1"
"821","0","1","1","1","0","1"
"821","0","1","2","2","0","3"
"859","0","0","2","0","0","1"
"859","0","0","4","1","0","2"
"859","0","0","5","14","0","13"
"859","0","0","7","15","0","14"
"859","0","0","8","97","0","50"
"859","0","0","9","106","0","54"
"859","0","0","11","114","0","57"
"859","0","0","14","143","4","81"
"859","0","0","19","145","0","82"
"859","0","0","21","159","0","85"
"859","0","0","22","166","0","94"
"859","0","0","23","172","0","123"
"877","0","0","1","0","0","1"
"895","0","0","1","0","0","1"
"1001","0","0","0","3","0","1"
"1001","0","0","1","10","0","12"
"1065","0","1","0","0","0","1"
"1096","0","0","0","0","0","1"
"1096","0","0","1","5","0","27"
"1182","0","0","2","2","1","1"
"1182","0","0","3","3","0","2"
"1241","0","1","23","56","10","25"
"1241","0","1","23","68","4","28"
"1241","0","1","23","74","1","29"
"1241","0","1","23","88","0","37"
"1241","0","1","30","99","11","39"
"1241","0","1","37","114","0","40"
"1241","0","1","38","133","0","41"
"1241","0","1","39","142","0","42"
"1241","0","1","40","151","0","43"
"1241","0","1","41","153","0","44"
"1241","0","1","42","160","0","47"
"1241","0","1","44","165","1","48"
"1241","0","1","47","174","10","49"
"1241","0","1","50","197","0","50"
"1241","0","1","52","199","0","51"
"1241","0","1","54","204","0","52"
"1241","0","1","55","204","0","58"
"1241","0","1","57","217","5","62"
"1241","0","1","59","220","0","63"
"1241","0","1","60","220","0","64"
"1241","0","1","61","222","0","65"
"1241","0","1","62","246","0","86"
"1249","0","0","0","0","0","1"
"1274","0","1","0","1","0","1"
"1293","0","0","1","0","0","1"
"1329","0","1","1","0","0","1"
"1397","0","0","0","0","0","1"
"1397","0","0","1","0","0","2"
"1442","0","0","0","0","0","1"
"1463","0","0","2","4","0","1"
"1463","0","0","3","17","0","6"
"1473","0","0","1","3","0","1"
"1473","0","0","2","5","0","3"
"1473","0","0","2","6","0","22"
"1473","0","0","4","7","0","27"
