owner,Gender,isGenderNeutral,totalCommit,revExp,review_count,tenure
5010,0,0,16,21,51,1
5010,0,0,48,92,78,2
5010,0,0,87,186,84,3
5010,0,0,137,244,67,4
5010,0,0,164,291,6,5
5010,0,0,170,311,15,6
5010,0,0,193,354,59,7
5010,0,0,223,418,68,8
5010,0,0,258,524,100,9
5010,0,0,297,584,42,10
5010,0,0,330,642,62,11
5010,0,0,352,766,75,12
5010,0,0,369,811,41,13
5010,0,0,391,836,10,14
5010,0,0,410,877,53,15
5010,0,0,431,929,23,16
5010,0,0,446,945,16,17
5010,0,0,451,956,0,19
5010,0,0,453,961,1,43
5010,0,0,454,967,0,48
5010,0,0,455,978,0,53
5010,0,0,456,979,0,54
5010,0,0,459,982,0,56
5010,0,0,462,988,0,61
5010,0,0,463,992,0,67
5015,0,1,3,7,13,1
5015,0,1,13,51,42,2
5015,0,1,41,124,76,3
5015,0,1,88,224,151,4
5015,0,1,133,389,89,5
5015,0,1,170,468,74,6
5015,0,1,197,545,43,7
5015,0,1,227,587,60,8
5015,0,1,257,670,81,9
5015,0,1,279,764,51,10
5015,0,1,303,792,14,11
5015,0,1,321,810,8,13
5015,0,1,329,824,0,14
5015,0,1,331,843,17,15
5015,0,1,333,875,29,16
5015,0,1,335,902,0,17
5015,0,1,337,925,6,43
5015,0,1,340,943,9,44
5015,0,1,350,956,14,45
5015,0,1,359,968,0,46
5015,0,1,362,979,0,47
5015,0,1,371,992,11,48
5015,0,1,379,1018,0,49
5015,0,1,380,1026,0,50
5015,0,1,381,1054,0,52
5015,0,1,385,1061,7,53
5015,0,1,390,1072,1,54
5015,0,1,391,1080,0,55
5015,0,1,392,1108,0,58
5015,0,1,393,1116,0,59
5015,0,1,395,1121,0,60
5015,0,1,398,1130,3,61
5015,0,1,401,1145,1,63
5015,0,1,402,1170,0,65
5015,0,1,404,1176,0,66
5015,0,1,406,1184,0,67
5015,0,1,408,1274,0,76
5015,0,1,409,1288,0,80
5015,0,1,411,1341,0,85
5015,0,1,412,1348,0,86
5015,0,1,414,1355,0,88
5020,0,1,1,1,0,1
5020,0,1,4,10,0,6
5020,0,1,5,10,0,9
5020,0,1,9,12,1,11
5020,0,1,12,13,0,14
5020,0,1,16,22,0,15
5020,0,1,21,22,0,16
5020,0,1,22,25,0,43
5020,0,1,25,31,0,45
5020,0,1,27,35,0,46
5020,0,1,28,37,0,52
5020,0,1,29,37,0,53
5020,0,1,31,46,2,56
5020,0,1,34,47,0,57
5020,0,1,36,50,1,59
5020,0,1,39,52,0,65
5020,0,1,41,53,0,66
5020,0,1,43,53,0,67
5020,0,1,44,55,0,74
5020,0,1,47,55,0,79
5020,0,1,49,57,0,84
