owner,Gender,isGenderNeutral,totalCommit,revExp,review_count,tenure
"1000002","0","0","2","1","2","1"
"1000002","0","0","5","4","0","2"
"1000002","0","0","10","14","16","3"
"1000002","0","0","16","26","0","4"
"1000002","0","0","18","39","0","7"
"1000002","0","0","20","41","1","8"
"1000002","0","0","25","48","8","10"
"1000002","0","0","37","57","8","11"
"1000002","0","0","48","72","3","12"
"1000002","0","0","53","81","2","14"
"1000002","0","0","59","87","9","15"
"1000002","0","0","68","93","1","17"
"1000002","0","0","74","104","3","18"
"1000002","0","0","79","118","17","19"
"1000002","0","0","87","133","21","20"
"1000002","0","0","92","152","4","22"
"1000002","0","0","96","164","10","23"
"1000002","0","0","101","173","7","24"
"1000002","0","0","106","178","2","25"
"1000002","0","0","109","213","0","30"
"1000002","0","0","110","217","0","31"
"1000002","0","0","124","225","3","32"
"1000002","0","0","139","252","0","37"
"1000002","0","0","143","257","1","38"
"1000002","0","0","149","259","4","39"
"1000002","0","0","153","266","0","41"
"1000002","0","0","154","267","0","43"
"1000002","0","0","159","287","9","44"
"1000002","0","0","165","299","3","45"
"1000002","0","0","167","301","0","46"
"1000002","0","0","171","356","5","48"
"1000002","0","0","178","359","0","49"
"1000002","0","0","182","364","0","50"
"1000002","0","0","184","373","0","52"
"1000002","0","0","187","375","0","53"
"1000002","0","0","193","379","3","55"
"1000002","0","0","205","384","3","56"
"1000002","0","0","229","389","9","57"
"1000002","0","0","249","395","0","58"
"1000002","0","0","255","398","1","59"
"1000002","0","0","272","400","3","60"
"1000002","0","0","288","402","0","61"
"1000002","0","0","291","406","0","62"
"1000002","0","0","292","409","0","63"
"1000002","0","0","297","409","0","66"
"1000002","0","0","304","410","1","71"
"1000002","0","0","309","411","0","72"
"1000002","0","0","312","411","0","73"
"1000002","0","0","321","411","0","74"
"1000002","0","0","331","413","1","75"
"1000002","0","0","334","414","0","77"
"1000002","0","0","335","414","0","79"
"1000002","0","0","339","417","0","80"
"1000002","0","0","343","417","0","81"
"1000002","0","0","346","417","0","82"
"1000002","0","0","349","418","1","83"
"1000002","0","0","356","418","0","84"
"1000002","0","0","363","418","0","85"
"1000002","0","0","364","418","0","86"
"1000002","0","0","366","419","2","90"
"1000002","0","0","375","420","0","91"
"1000002","0","0","386","420","0","95"
"1000002","0","0","397","420","0","96"
"1000002","0","0","415","420","0","97"
"1000002","0","0","427","420","0","100"
"1000002","0","0","433","420","0","103"
"1000002","0","0","455","420","0","104"
"1000002","0","0","487","420","0","105"
"1000002","0","0","509","422","2","106"
"1000002","0","0","520","422","0","107"
