owner,Gender,isGenderNeutral,totalCommit,revExp,review_count,tenure
1000000,0,1,6,3,6,1
1000000,0,1,13,36,0,3
1000000,0,1,15,85,1,7
1000000,0,1,20,108,12,8
1000000,0,1,25,138,8,10
1000000,0,1,28,274,7,15
1000000,0,1,30,308,0,16
1000000,0,1,32,387,6,19
1000000,0,1,35,619,0,24
1000000,0,1,37,1302,0,28
1000002,0,1,1,0,0,1
1000002,0,1,4,38,6,2
1000002,0,1,7,64,0,3
1000002,0,1,13,106,20,4
1000002,0,1,18,119,0,5
1000002,0,1,19,268,0,10
1000002,0,1,20,296,0,11
1000002,0,1,22,378,11,15
1000002,0,1,25,526,9,21
1000002,0,1,29,548,23,22
1000002,0,1,32,571,0,23
1000002,0,1,34,687,0,26
1000002,0,1,36,819,0,51
1000005,0,1,4,6,1,1
1000005,0,1,11,8,2,2
1000005,0,1,15,8,0,3
1000005,0,1,23,39,24,4
1000005,0,1,39,65,19,5
1000005,0,1,57,85,9,6
1000005,0,1,74,107,34,7
1000005,0,1,93,134,15,8
1000005,0,1,115,149,18,9
1000005,0,1,132,170,16,10
1000005,0,1,140,188,2,11
1000005,0,1,148,195,18,12
1000005,0,1,158,228,9,13
1000005,0,1,164,266,0,15
1000005,0,1,166,271,7,16
1000005,0,1,168,289,0,17
1000005,0,1,170,333,29,18
1000005,0,1,174,415,50,19
1000005,0,1,177,438,6,20
1000005,0,1,184,459,26,21
1000005,0,1,193,479,12,22
1000005,0,1,200,490,1,23
1000005,0,1,206,506,0,24
1000005,0,1,218,536,22,25
1000005,0,1,234,562,23,26
1000005,0,1,244,585,9,27
1000005,0,1,254,626,50,28
1000005,0,1,261,722,127,29
1000005,0,1,267,886,95,30
1000005,0,1,270,1042,0,31
1000005,0,1,274,1168,82,32
1000005,0,1,285,1282,188,33
1000005,0,1,300,1476,143,34
1000005,0,1,312,1649,84,35
1000005,0,1,317,1747,62,36
1000005,0,1,321,1865,64,37
1000005,0,1,327,1964,4,38
1000005,0,1,332,2025,0,39
1000005,0,1,334,2073,2,40
1000005,0,1,337,2135,0,41
1000005,0,1,339,2308,11,44
1000005,0,1,342,2393,57,45
1000005,0,1,348,2431,18,46
1000005,0,1,353,2472,0,47
1000005,0,1,354,2527,0,48
1000005,0,1,358,2575,24,49
1000005,0,1,361,2649,0,50
1000005,0,1,362,2662,0,51
1000005,0,1,363,2760,0,53
1000005,0,1,365,2762,0,54
1000005,0,1,366,2779,0,55
1000005,0,1,368,2803,17,56
1000005,0,1,373,2825,40,57
1000005,0,1,378,2871,7,59
1000005,0,1,379,2891,0,60
1000005,0,1,383,2912,12,61
1000005,0,1,392,2930,74,62
1000005,0,1,400,3003,14,63
1000005,0,1,404,3011,2,64
1000005,0,1,410,3026,6,66
1000005,0,1,414,3070,0,67
1000005,0,1,417,3090,1,69
1000005,0,1,419,3095,0,70
1000005,0,1,420,3114,0,71
1000006,0,1,1,2,1,1
1000006,0,1,5,3,1,2
1000006,0,1,9,6,0,4
1000006,0,1,12,9,2,7
1000006,0,1,26,12,4,8
1000006,0,1,39,16,1,9
1000006,0,1,44,25,2,10
1000006,0,1,50,30,5,11
1000006,0,1,56,33,0,12
1000006,0,1,59,34,0,13
1000006,0,1,64,35,2,14
1000006,0,1,73,38,2,15
1000006,0,1,83,39,0,16
1000006,0,1,87,44,0,17
1000006,0,1,88,51,0,18
1000006,0,1,89,51,0,19
1000008,0,0,0,0,0,1
1000008,0,0,1,0,0,5
1000008,0,0,3,0,0,6
1000008,0,0,4,4,0,8
1000008,0,0,5,4,0,12
1000008,0,0,7,4,0,13
1000008,0,0,9,5,1,14
1000008,0,0,10,6,0,19
1000008,0,0,11,8,0,20
1000008,0,0,14,11,0,21
1000008,0,0,17,11,0,22
1000008,0,0,19,12,0,23
1000008,0,0,22,13,2,25
1000009,0,1,31,1,6,1
1000009,0,1,64,10,0,2
1000009,0,1,76,18,16,3
1000009,0,1,105,45,31,4
1000009,0,1,145,73,21,5
1000009,0,1,170,122,24,6
1000009,0,1,179,160,18,7
1000009,0,1,192,202,48,8
1000009,0,1,212,254,68,9
1000009,0,1,231,317,21,10
1000009,0,1,245,342,23,11
1000009,0,1,265,371,23,12
1000009,0,1,281,423,5,13
1000009,0,1,287,539,133,14
1000009,0,1,299,606,44,15
1000009,0,1,318,678,55,16
1000009,0,1,332,725,6,17
1000009,0,1,336,734,1,18
1000009,0,1,355,788,80,19
1000009,0,1,384,891,80,20
1000009,0,1,412,973,44,21
1000009,0,1,430,988,3,22
1000009,0,1,434,1002,3,24
1000009,0,1,436,1004,0,25
1000010,0,1,30,16,27,1
1000010,0,1,71,34,10,2
1000010,0,1,96,51,18,3
1000010,0,1,171,70,19,4
1000010,0,1,248,93,16,5
1000010,0,1,266,109,0,6
1000010,0,1,280,137,34,7
1000010,0,1,310,185,34,8
1000010,0,1,341,205,21,9
1000010,0,1,375,223,15,10
1000010,0,1,416,243,19,11
1000010,0,1,446,269,29,12
1000010,0,1,463,295,21,13
1000010,0,1,484,332,46,14
1000010,0,1,526,374,38,15
1000010,0,1,577,428,26,16
1000010,0,1,614,451,24,17
1000010,0,1,650,497,53,18
1000010,0,1,680,543,41,19
1000010,0,1,705,598,47,20
1000010,0,1,742,647,48,21
1000010,0,1,771,696,19,22
1000010,0,1,794,722,24,23
1000010,0,1,824,754,20,24
1000010,0,1,854,773,28,25
1000010,0,1,877,806,14,26
1000010,0,1,886,811,0,27
1000011,0,0,3,9,10,1
1000011,0,0,7,16,2,2
1000011,0,0,10,21,4,3
1000011,0,0,14,37,12,4
1000011,0,0,22,44,5,5
1000011,0,0,30,53,10,6
1000011,0,0,35,64,1,8
1000011,0,0,39,78,14,9
1000011,0,0,43,89,0,10
1000011,0,0,50,99,10,11
1000011,0,0,55,110,0,13
1000011,0,0,58,120,8,14
1000011,0,0,62,122,0,15
1000011,0,0,68,129,0,17
1000011,0,0,72,141,0,20
1000011,0,0,73,143,0,21
1000011,0,0,74,147,0,22
1000011,0,0,80,152,4,24
1000011,0,0,91,161,8,25
1000011,0,0,100,168,5,26
1000011,0,0,106,174,4,27
1000011,0,0,109,179,0,28
1000011,0,0,115,181,0,29
1000011,0,0,122,183,0,30
1000011,0,0,133,190,9,31
1000011,0,0,145,198,4,32
1000011,0,0,156,206,12,33
1000011,0,0,170,214,1,34
1000011,0,0,177,225,2,35
1000011,0,0,183,240,37,36
1000011,0,0,191,272,0,37
1000011,0,0,195,281,0,38
1000011,0,0,198,309,0,39
1000011,0,0,206,320,14,40
1000011,0,0,217,345,30,41
1000011,0,0,222,367,8,42
1000011,0,0,237,391,17,43
1000011,0,0,266,417,15,44
1000011,0,0,294,427,11,45
1000011,0,0,315,449,21,46
1000011,0,0,323,461,1,47
1000011,0,0,332,465,7,48
1000011,0,0,355,482,17,49
1000011,0,0,372,500,1,50
1000011,0,0,376,505,3,51
1000011,0,0,384,532,18,52
1000011,0,0,402,565,21,53
1000011,0,0,429,593,48,54
1000011,0,0,447,629,1,55
1000011,0,0,467,646,24,56
1000011,0,0,494,661,10,57
1000011,0,0,516,675,17,58
1000011,0,0,538,698,36,59
1000011,0,0,552,734,0,60
1000011,0,0,558,774,18,61
1000011,0,0,562,862,2,65
1000011,0,0,565,887,12,66
1000011,0,0,568,898,2,67
1000011,0,0,571,956,1,71
1000013,0,1,6,9,11,1
1000013,0,1,13,15,0,2
1000013,0,1,19,18,3,3
1000013,0,1,30,18,0,4
1000014,0,1,1,0,0,1
1000014,0,1,7,4,1,2
1000014,0,1,15,6,1,3
1000014,0,1,22,6,0,4
1000014,0,1,31,10,0,5
1000014,0,1,41,15,6,6
1000014,0,1,57,29,19,7
1000014,0,1,80,42,12,8
1000014,0,1,106,68,33,9
1000014,0,1,128,122,31,10
1000014,0,1,141,152,16,11
1000014,0,1,150,180,25,12
1000014,0,1,166,199,17,13
1000014,0,1,180,214,15,14
1000014,0,1,200,237,33,15
1000014,0,1,230,281,42,16
1000014,0,1,301,317,44,17
1000014,0,1,368,392,32,18
1000014,0,1,384,419,13,19
1000014,0,1,396,433,4,20
1000014,0,1,414,447,10,21
1000014,0,1,429,462,8,22
1000014,0,1,442,473,8,23
1000014,0,1,454,479,5,24
1000014,0,1,469,490,22,25
1000014,0,1,484,527,28,26
1000014,0,1,520,573,51,27
1000014,0,1,581,623,48,28
1000014,0,1,625,664,42,29
1000014,0,1,652,720,52,30
1000014,0,1,687,762,33,31
1000014,0,1,714,782,16,32
1000014,0,1,774,820,37,33
1000014,0,1,835,851,19,34
1000014,0,1,870,894,31,35
1000014,0,1,921,925,25,36
1000014,0,1,957,952,29,37
1000014,0,1,979,983,10,38
1000014,0,1,994,1000,20,39
1000014,0,1,1026,1026,22,40
1000014,0,1,1065,1040,18,41
1000014,0,1,1094,1068,24,42
1000014,0,1,1121,1091,26,43
1000014,0,1,1162,1124,43,44
