owner,Gender,isGenderNeutral,totalCommit,revExp,review_count,tenure
1000003,0,0,12,16,26,1
1000003,0,0,37,45,20,2
1000003,0,0,79,81,25,3
1000003,0,0,137,111,34,4
1000003,0,0,187,142,23,5
1000003,0,0,240,173,66,6
1000003,0,0,290,229,34,7
1000003,0,0,323,273,30,8
1000003,0,0,360,311,48,9
1000003,0,0,404,368,58,10
1000003,0,0,449,432,78,11
1000003,0,0,500,505,48,12
1000003,0,0,541,541,16,13
1000003,0,0,555,552,0,15
1000003,0,0,574,565,9,16
1000003,0,0,620,573,16,17
1000003,0,0,651,614,37,18
1000003,0,0,682,674,83,19
1000003,0,0,723,734,23,20
1000003,0,0,757,779,61,21
1000003,0,0,804,851,80,22
1000003,0,0,851,918,36,23
1000003,0,0,890,967,58,24
1000003,0,0,928,1018,40,25
1000003,0,0,1202,1455,1742,26
1000003,0,0,1000,1080,4,27
1000003,0,0,1020,1113,37,28
1000003,0,0,1048,1153,31,29
1000003,0,0,1084,1186,37,30
1000003,0,0,1133,1259,104,31
1000003,0,0,1218,1432,1492,32
1000003,0,0,1184,1399,48,33
1000003,0,0,1237,1493,1386,34
1000003,0,0,1272,1564,77,35
1000003,0,0,1305,1628,38,36
1000003,0,0,1325,1661,48,37
1000003,0,0,1353,1738,85,38
1000003,0,0,1391,1816,60,39
1000003,0,0,1417,1890,17,40
1000003,0,0,1454,1949,955,41
1000003,0,0,1474,1996,55,42
1000003,0,0,1528,2092,852,43
1000003,0,0,1570,2171,123,44
1000003,0,0,1628,2298,64,45
1000003,0,0,1685,2362,48,46
1000003,0,0,1722,2400,23,47
1000003,0,0,1762,2447,53,48
1000003,0,0,1793,2499,39,49
1000003,0,0,1851,2595,363,50
1000003,0,0,1868,2598,53,51
1000003,0,0,1897,2645,32,52
1000003,0,0,1924,2707,64,53
1000003,0,0,1972,2805,169,54
1000003,0,0,2016,2925,27,55
1000003,0,0,2032,2955,36,56
1000003,0,0,2046,2982,10,57
1000003,0,0,2063,3005,28,58
1000003,0,0,2082,3046,36,59
1000003,0,0,2107,3103,67,60
1000003,0,0,2138,3162,34,61
1000003,0,0,2175,3202,36,62
1000003,0,0,2217,3225,19,63
1000003,0,0,2247,3253,23,64
1000003,0,0,2262,3293,16,65
1000003,0,0,2287,3306,23,66
1000003,0,0,2341,3352,317,67
1000003,0,0,2382,3383,25,68
1000003,0,0,2401,3411,14,69
1000003,0,0,2413,3425,22,70
1000003,0,0,2433,3450,13,71
1000003,0,0,2455,3472,14,72
1000003,0,0,2474,3499,32,73
1000003,0,0,2489,3535,7,74
1000003,0,0,2507,3562,45,75
1000003,0,0,2534,3607,28,76
1000003,0,0,2561,3652,14,77
1000003,0,0,2614,3673,26,78
1000003,0,0,2659,3687,0,79
1000003,0,0,2664,3696,3,80
1000003,0,0,2483,3528,0,82
1000003,0,0,2419,3439,0,88
1000003,0,0,2238,3245,0,89
1000003,0,0,2469,3486,0,96
1000003,0,0,2651,3679,0,97
1000003,0,0,2258,3284,0,119
1000003,0,0,2548,3626,0,126
1000004,0,0,8,10,8,1
1000004,0,0,25,30,36,2
1000004,0,0,37,76,30,3
1000004,0,0,72,130,48,4
1000004,0,0,108,153,25,5
1000004,0,0,127,235,92,6
1000004,0,0,164,320,107,7
1000004,0,0,189,416,44,8
1000004,0,0,212,560,109,9
1000004,0,0,278,735,197,10
1000004,0,0,395,1073,246,11
1000004,0,0,507,1197,135,12
1000004,0,0,570,1372,145,13
1000004,0,0,707,1547,187,14
1000004,0,0,909,1727,177,15
1000004,0,0,1068,1927,210,16
1000004,0,0,1180,2061,84,17
1000004,0,0,1269,2276,183,18
1000004,0,0,1375,2518,223,19
1000004,0,0,1488,2682,164,20
1000004,0,0,1590,2914,185,21
1000004,0,0,1699,3159,261,22
1000004,0,0,1808,3395,284,23
1000004,0,0,1876,3654,183,24
1000004,0,0,1945,3813,179,25
1000004,0,0,2042,3982,175,26
1000004,0,0,2121,4180,147,27
1000004,0,0,2200,4344,160,28
1000004,0,0,2254,4490,84,29
1000004,0,0,2313,4638,176,30
1000004,0,0,2405,4805,170,31
1000004,0,0,2456,4969,83,32
1000004,0,0,2488,5107,118,33
1000004,0,0,2524,5278,154,34
1000004,0,0,2554,5546,147,35
1000004,0,0,2589,5683,144,36
1000004,0,0,2629,5839,86,37
1000004,0,0,2662,5966,150,38
1000004,0,0,2684,6106,142,39
1000004,0,0,2701,6244,74,40
1000004,0,0,2727,6394,113,41
1000004,0,0,2768,6514,124,42
1000004,0,0,2812,6666,140,43
1000004,0,0,2839,6827,85,44
1000004,0,0,2886,6931,74,45
1000004,0,0,2958,7055,183,46
1000004,0,0,3000,7241,142,47
1000004,0,0,3026,7411,87,48
1000004,0,0,3059,7519,123,49
1000004,0,0,3079,7702,164,50
1000004,0,0,3091,7913,193,51
1000004,0,0,3101,8052,28,52
1000004,0,0,3120,8207,94,53
1000004,0,0,3144,8285,171,54
1000004,0,0,3194,8483,178,55
1000004,0,0,3278,8701,120,56
1000004,0,0,3324,8770,49,57
1000004,0,0,3341,8897,134,58
1000004,0,0,3383,9040,150,59
1000004,0,0,3474,9305,118,60
1000004,0,0,3562,9451,158,61
1000004,0,0,3599,9658,215,62
1000004,0,0,3636,9870,136,63
1000004,0,0,3713,10004,140,64
1000004,0,0,3780,10151,52,65
1000004,0,0,3858,10303,124,66
1000004,0,0,3976,10442,158,67
1000004,0,0,4056,10613,194,68
1000004,0,0,4106,10798,122,69
1000004,0,0,4169,10965,187,70
1000004,0,0,4206,11116,119,71
1000004,0,0,4214,11292,127,72
1000004,0,0,4234,11465,156,73
1000004,0,0,4257,11574,119,74
1000004,0,0,4270,11703,46,75
1000004,0,0,4292,11857,116,76
1000004,0,0,4309,12131,0,78
1000004,0,0,4311,12220,85,79
1000004,0,0,4322,12277,39,80
1000004,0,0,3145,8285,0,92
1000004,0,0,3895,10331,0,118
1000005,0,0,11,24,38,1
1000005,0,0,22,48,0,2
1000005,0,0,27,49,2,3
1000005,0,0,36,54,4,4
1000005,0,0,44,65,2,5
1000005,0,0,56,74,29,6
1000005,0,0,74,125,39,7
1000005,0,0,86,148,10,8
1000005,0,0,90,159,2,9
1000005,0,0,96,167,8,10
1000005,0,0,106,174,2,11
1000005,0,0,117,178,2,12
1000005,0,0,124,184,9,13
1000005,0,0,134,201,8,14
1000005,0,0,151,232,47,15
1000005,0,0,185,304,109,16
1000005,0,0,233,423,73,17
1000005,0,0,287,554,132,18
1000005,0,0,354,737,212,19
1000005,0,0,427,879,115,20
1000005,0,0,471,968,45,21
1000005,0,0,501,1087,135,22
1000005,0,0,579,1215,116,23
1000005,0,0,688,1322,112,24
1000005,0,0,762,1406,32,25
1000005,0,0,833,1473,135,26
1000005,0,0,926,1654,166,27
1000005,0,0,994,1827,160,28
1000005,0,0,1038,1962,87,29
1000005,0,0,1071,2023,55,30
1000005,0,0,1130,2165,188,31
1000005,0,0,1233,2339,139,32
1000005,0,0,1315,2453,103,33
1000005,0,0,1376,2631,1470,34
1000005,0,0,1380,2668,99,35
1000005,0,0,1405,2708,32,36
1000005,0,0,1422,2747,33,37
1000005,0,0,1569,3518,1761,38
1000005,0,0,1463,2904,54,39
1000005,0,0,1478,2985,61,40
1000005,0,0,1511,3098,975,41
1000005,0,0,1541,3156,110,42
1000005,0,0,1580,3448,1271,43
1000005,0,0,1566,3419,63,44
1000005,0,0,1573,3497,55,45
1000005,0,0,1600,3584,97,46
1000005,0,0,1636,3712,131,47
1000005,0,0,1669,3882,178,48
1000005,0,0,1695,4084,140,49
1000005,0,0,1710,4215,146,50
1000005,0,0,1727,4423,135,51
1000005,0,0,1752,4543,88,52
1000005,0,0,1766,4604,32,53
1000005,0,0,1773,4817,163,54
1000005,0,0,1785,4943,116,55
1000005,0,0,1799,5047,117,56
1000005,0,0,1815,5174,129,57
1000005,0,0,1826,5277,42,58
1000005,0,0,1855,5434,135,59
1000005,0,0,1916,5536,104,60
1000005,0,0,1970,5632,76,61
1000005,0,0,2010,5737,415,62
1000005,0,0,2054,5866,583,63
1000005,0,0,2084,5989,63,64
1000005,0,0,2071,5997,543,65
1000005,0,0,2103,6156,156,66
1000005,0,0,2136,6360,117,67
1000005,0,0,2179,6498,149,68
1000005,0,0,2214,6659,104,69
1000005,0,0,2259,6760,118,70
1000005,0,0,2294,6886,129,71
1000005,0,0,2315,7022,100,72
1000005,0,0,2343,7192,174,73
1000005,0,0,2352,7296,2049,74
1000005,0,0,2406,7663,183,75
1000005,0,0,2426,7766,40,76
1000005,0,0,2430,7805,0,77
1000005,0,0,2431,7824,0,78
1000005,0,0,2264,6780,0,86
1000005,0,0,2303,6973,0,105
1000005,0,0,2178,6494,0,106
1000005,0,0,2432,7827,0,107
1000007,0,0,19,23,40,1
1000007,0,0,52,57,23,2
1000007,0,0,75,77,12,3
1000007,0,0,95,92,19,4
1000007,0,0,120,121,18,5
1000007,0,0,162,142,29,6
1000007,0,0,201,173,26,7
1000007,0,0,219,198,9,8
1000007,0,0,257,225,33,9
1000007,0,0,323,255,38,10
1000007,0,0,367,299,31,11
1000007,0,0,400,327,33,12
1000007,0,0,463,363,24,13
1000007,0,0,519,497,123,14
1000007,0,0,537,563,7,15
1000007,0,0,551,677,111,16
1000007,0,0,578,776,68,17
1000007,0,0,620,846,43,18
1000007,0,0,652,879,27,19
1000007,0,0,664,909,21,20
1000007,0,0,692,962,87,21
1000007,0,0,737,1063,90,22
1000007,0,0,780,1134,59,23
1000007,0,0,816,1216,42,24
1000007,0,0,847,1273,64,25
1000007,0,0,881,1322,36,26
1000007,0,0,912,1364,43,27
1000007,0,0,936,1419,70,28
1000007,0,0,964,1491,35,29
1000007,0,0,1001,1543,90,30
1000007,0,0,1049,1649,62,31
1000007,0,0,1077,1688,7,32
1000007,0,0,1096,1713,21,33
1000007,0,0,1128,1743,57,34
1000007,0,0,1204,1802,55,35
1000007,0,0,1301,1865,37,36
1000007,0,0,1343,1888,13,37
1000007,0,0,1361,1917,44,38
1000007,0,0,1401,1992,89,39
1000007,0,0,1443,2040,20,40
1000007,0,0,1478,2098,60,41
1000007,0,0,1508,2154,50,42
1000007,0,0,1532,2220,59,43
1000007,0,0,1553,2246,8,44
1000007,0,0,1573,2264,13,45
1000007,0,0,1607,2311,325,46
1000007,0,0,1612,2349,39,47
1000007,0,0,1639,2385,31,48
1000007,0,0,1669,2424,41,49
1000007,0,0,1712,2510,144,50
1000007,0,0,1710,2521,32,51
1000007,0,0,1735,2546,23,52
1000007,0,0,1765,2575,25,53
1000007,0,0,1787,2591,5,54
1000007,0,0,1796,2609,0,68
1000007,0,0,1798,2609,0,72
1000007,0,0,1800,2609,0,74
1000007,0,0,1804,2610,0,75
1000007,0,0,1808,2610,0,79
1000008,0,0,2,2,2,1
1000008,0,0,7,7,1,2
1000008,0,0,11,11,0,3
1000008,0,0,15,14,2,4
1000008,0,0,18,16,0,5
1000008,0,0,19,18,0,6
1000008,0,0,21,23,3,7
1000008,0,0,22,31,0,8
1000008,0,0,24,40,0,10
1000008,0,0,26,55,3,15
1000008,0,0,35,61,10,16
1000008,0,0,50,81,24,17
1000008,0,0,65,97,23,18
1000008,0,0,73,120,4,19
1000008,0,0,94,143,13,20
1000008,0,0,119,165,29,21
1000008,0,0,130,201,17,22
1000008,0,0,137,221,4,23
1000008,0,0,143,225,0,24
1000008,0,0,147,244,0,25
1000008,0,0,182,255,5,27
1000008,0,0,219,267,15,28
1000008,0,0,224,285,20,29
1000008,0,0,230,300,11,30
1000008,0,0,236,325,6,31
1000008,0,0,241,345,15,32
1000008,0,0,250,397,61,33
1000008,0,0,257,436,5,34
1000008,0,0,259,465,22,35
1000008,0,0,266,493,15,36
1000008,0,0,274,510,21,37
1000008,0,0,283,543,14,38
1000008,0,0,293,556,11,39
1000008,0,0,300,567,3,40
1000008,0,0,304,573,4,41
1000008,0,0,308,586,10,42
1000008,0,0,317,616,12,45
1000008,0,0,325,629,0,46
1000008,0,0,327,641,9,47
1000008,0,0,331,654,4,48
1000008,0,0,334,666,5,49
1000008,0,0,338,679,6,50
1000008,0,0,344,700,15,51
1000008,0,0,352,720,24,52
1000008,0,0,359,751,16,53
1000008,0,0,366,781,43,54
1000008,0,0,374,814,14,55
1000008,0,0,379,843,13,56
1000008,0,0,384,874,10,57
1000008,0,0,393,906,23,58
1000008,0,0,406,933,32,59
1000008,0,0,421,968,25,60
1000008,0,0,432,992,6,61
1000008,0,0,440,1061,57,62
1000008,0,0,447,1138,11,63
1000008,0,0,452,1164,22,64
1000008,0,0,462,1185,26,65
1000008,0,0,477,1250,67,66
1000008,0,0,487,1283,0,67
1000008,0,0,495,1325,11,68
1000008,0,0,509,1344,20,69
1000008,0,0,520,1374,16,70
1000008,0,0,531,1398,11,71
1000008,0,0,550,1413,16,72
1000008,0,0,569,1446,42,73
1000008,0,0,586,1499,34,74
1000008,0,0,599,1521,12,75
1000008,0,0,606,1541,12,76
1000008,0,0,613,1585,16,77
1000008,0,0,621,1611,15,78
1000008,0,0,431,990,0,79
1000008,0,0,550,1417,0,81
1000008,0,0,516,1357,0,84
1000008,0,0,616,1589,0,95
1000008,0,0,588,1506,0,98
1000008,0,0,609,1571,0,100
1000009,0,0,23,15,19,1
1000009,0,0,60,25,16,2
1000009,0,0,85,40,4,3
1000009,0,0,116,50,15,4
1000009,0,0,149,64,10,5
1000009,0,0,181,79,30,6
1000009,0,0,214,115,32,7
1000009,0,0,234,140,20,8
1000009,0,0,260,178,54,9
1000009,0,0,295,233,35,10
1000009,0,0,337,258,22,11
1000009,0,0,409,282,35,12
1000009,0,0,465,400,99,13
1000009,0,0,514,434,44,14
1000009,0,0,558,503,16,15
1000009,0,0,580,547,75,16
1000009,0,0,625,622,33,17
1000009,0,0,681,665,60,18
1000009,0,0,725,748,26,19
1000009,0,0,751,797,15,20
1000009,0,0,789,883,95,21
1000009,0,0,864,983,121,22
1000009,0,0,933,1133,108,23
1000009,0,0,980,1211,84,24
1000009,0,0,1034,1314,83,25
1000009,0,0,1098,1386,57,26
1000009,0,0,1154,1480,73,27
1000009,0,0,1229,1580,117,28
1000009,0,0,1300,1648,40,29
1000009,0,0,1354,1734,72,30
1000009,0,0,1434,1790,38,31
1000009,0,0,1487,1826,17,32
1000009,0,0,1500,1857,29,33
1000009,0,0,1531,1916,85,34
1000009,0,0,1574,2011,116,35
1000009,0,0,1611,2114,39,36
1000009,0,0,1651,2146,42,37
1000009,0,0,1708,2196,31,38
1000009,0,0,1763,2255,54,39
1000009,0,0,1804,2301,26,40
1000009,0,0,1839,2332,31,41
1000009,0,0,1878,2376,38,42
1000009,0,0,1926,2418,50,43
1000009,0,0,1950,2458,0,44
1000009,0,0,1986,2486,26,45
1000009,0,0,2080,2513,32,46
1000009,0,0,2181,2561,258,47
1000009,0,0,2207,2574,23,48
1000009,0,0,2265,2608,26,49
1000009,0,0,2369,2632,29,50
1000009,0,0,2472,2670,144,51
1000009,0,0,2528,2737,31,53
1000009,0,0,2585,2786,47,54
1000009,0,0,2657,2841,66,55
1000009,0,0,2716,2901,62,56
1000009,0,0,2761,2976,29,57
1000009,0,0,2824,3033,70,58
1000009,0,0,2886,3105,56,59
1000009,0,0,2943,3162,42,60
1000009,0,0,3001,3210,40,61
1000009,0,0,3042,3241,41,62
1000009,0,0,3092,3322,59,63
1000009,0,0,3143,3373,25,64
1000009,0,0,3172,3391,25,65
1000009,0,0,3220,3434,49,66
1000009,0,0,3299,3509,71,67
1000009,0,0,3421,3579,91,68
1000009,0,0,3515,3647,35,69
1000009,0,0,3582,3723,86,70
1000009,0,0,3675,3799,94,71
1000009,0,0,3736,3889,49,72
1000009,0,0,3782,3933,30,73
1000009,0,0,3834,3988,58,74
1000009,0,0,3872,4030,42,75
1000009,0,0,3897,4087,50,76
1000009,0,0,3916,4132,15,77
1000009,0,0,3954,4175,62,78
1000009,0,0,4005,4228,40,79
1000009,0,0,4047,4258,10,80
1000009,0,0,3812,3956,0,85
1000009,0,0,3853,4028,438,94
1000009,0,0,2927,3152,0,108
1000009,0,0,3818,3974,0,112
1000010,0,0,3,4,6,1
1000010,0,0,7,27,0,2
1000010,0,0,10,35,4,3
1000010,0,0,11,68,0,4
1000010,0,0,13,86,22,5
1000010,0,0,20,107,15,6
1000010,0,0,26,122,2,8
1000010,0,0,30,125,2,9
1000010,0,0,35,131,6,10
1000010,0,0,47,141,7,11
1000010,0,0,61,148,3,12
1000010,0,0,69,157,3,13
1000010,0,0,74,157,0,14
1000010,0,0,77,167,10,19
1000010,0,0,82,173,2,20
1000010,0,0,94,178,4,21
1000010,0,0,111,184,6,22
1000010,0,0,121,195,1,23
1000010,0,0,131,208,12,24
1000010,0,0,143,228,20,25
1000010,0,0,154,243,7,26
1000010,0,0,162,252,4,27
1000010,0,0,166,257,0,28
1000010,0,0,171,263,7,29
1000010,0,0,189,284,21,30
1000010,0,0,228,308,26,31
1000010,0,0,258,324,11,32
1000010,0,0,270,340,28,33
