owner,Gender,isGenderNeutral,totalCommit,revExp,review_count,tenure
1,0,0,0,0,0,1
1,0,0,1,1,0,3
1,0,0,3,13,3,5
1,0,0,5,41,0,30
1,0,0,8,57,0,47
1,0,0,10,74,0,78
3,0,0,4,1,2,1
3,0,0,12,5,6,2
3,0,0,16,11,5,3
3,0,0,22,20,7,4
3,0,0,29,26,4,5
3,0,0,35,38,3,6
3,0,0,42,40,2,7
3,0,0,46,57,0,8
3,0,0,47,63,0,9
3,0,0,49,69,0,10
3,0,0,52,84,0,11
3,0,0,60,98,1,12
3,0,0,69,103,9,13
3,0,0,72,113,5,14
3,0,0,79,123,8,15
3,0,0,84,134,0,16
3,0,0,89,161,13,17
3,0,0,95,179,11,18
3,0,0,99,203,1,19
3,0,0,105,223,17,20
3,0,0,118,244,28,21
3,0,0,134,309,6,23
3,0,0,145,322,6,24
3,0,0,150,335,3,25
3,0,0,157,348,17,26
3,0,0,165,372,11,27
3,0,0,175,386,19,28
3,0,0,184,403,6,29
3,0,0,194,415,11,30
3,0,0,205,433,4,31
3,0,0,214,441,6,32
3,0,0,223,444,7,33
3,0,0,230,461,8,34
3,0,0,235,485,2,35
3,0,0,238,494,13,36
3,0,0,242,508,2,37
3,0,0,251,525,19,38
3,0,0,263,549,10,39
3,0,0,271,571,22,40
3,0,0,281,593,13,41
3,0,0,291,612,12,42
3,0,0,306,644,18,43
3,0,0,318,659,4,44
3,0,0,327,677,9,45
3,0,0,340,687,11,46
3,0,0,353,703,6,47
3,0,0,363,709,8,48
3,0,0,372,718,9,49
3,0,0,390,723,10,50
3,0,0,406,736,4,51
3,0,0,412,752,3,53
3,0,0,418,767,1,55
3,0,0,424,772,5,56
3,0,0,430,778,2,57
3,0,0,438,783,4,58
3,0,0,448,786,1,59
3,0,0,454,796,4,61
3,0,0,458,804,4,62
3,0,0,462,809,5,63
3,0,0,470,815,3,64
3,0,0,478,820,3,65
3,0,0,484,823,6,66
3,0,0,492,829,3,67
3,0,0,501,837,4,68
3,0,0,507,844,10,69
3,0,0,514,857,5,70
3,0,0,524,865,7,71
3,0,0,532,869,3,72
3,0,0,540,879,10,73
3,0,0,549,888,0,74
3,0,0,556,896,11,75
3,0,0,563,910,10,76
3,0,0,569,922,4,77
3,0,0,575,936,14,78
3,0,0,580,952,23,79
3,0,0,590,980,15,80
3,0,0,599,1002,5,81
3,0,0,602,1012,2,82
3,0,0,610,1027,20,83
3,0,0,620,1046,13,84
3,0,0,628,1058,15,85
3,0,0,637,1084,16,86
3,0,0,641,1094,0,87
3,0,0,644,1114,16,88
3,0,0,647,1133,0,89
3,0,0,649,1140,1,90
7,0,0,2,12,15,1
7,0,0,7,41,31,2
7,0,0,11,84,14,3
7,0,0,16,127,14,4
7,0,0,26,142,7,5
7,0,0,36,161,12,6
7,0,0,41,187,16,7
7,0,0,51,211,23,8
7,0,0,65,238,19,9
7,0,0,92,251,7,10
7,0,0,114,281,18,11
7,0,0,119,305,18,12
7,0,0,126,337,22,13
7,0,0,145,359,25,14
7,0,0,167,391,57,15
7,0,0,187,466,29,16
7,0,0,210,493,16,17
7,0,0,230,530,25,18
7,0,0,252,558,41,19
7,0,0,275,598,35,20
7,0,0,287,626,12,21
7,0,0,295,638,18,22
7,0,0,302,668,0,23
7,0,0,304,705,0,24
7,0,0,306,711,4,25
7,0,0,307,752,0,28
7,0,0,313,766,27,29
7,0,0,322,800,19,30
7,0,0,330,829,28,31
7,0,0,337,854,13,32
7,0,0,341,868,15,33
7,0,0,346,911,41,34
7,0,0,352,936,1,35
7,0,0,362,980,42,36
7,0,0,379,1028,46,37
7,0,0,390,1054,6,38
7,0,0,393,1062,0,39
7,0,0,395,1073,5,40
7,0,0,397,1088,0,42
7,0,0,399,1092,0,43
7,0,0,402,1103,1,44
7,0,0,404,1122,0,46
7,0,0,405,1122,0,48
7,0,0,406,1125,0,50
7,0,0,407,1128,0,61
7,0,0,411,1141,14,62
7,0,0,419,1173,19,63
7,0,0,439,1216,49,64
7,0,0,459,1258,20,65
7,0,0,465,1317,29,69
7,0,0,472,1354,16,70
7,0,0,481,1379,33,71
7,0,0,485,1436,0,75
8,0,0,4,7,3,1
8,0,0,8,8,0,2
8,0,0,10,10,0,3
8,0,0,12,11,1,4
11,0,0,0,42,0,1
11,0,0,2,45,0,4
11,0,0,4,55,0,28
11,0,0,5,55,0,31
11,0,0,7,55,0,32
11,0,0,13,56,1,33
12,0,0,1,0,0,1
12,0,0,4,11,3,4
12,0,0,8,26,3,8
12,0,0,10,27,0,9
12,0,0,12,29,0,10
12,0,0,15,31,0,11
12,0,0,19,35,3,12
12,0,0,26,42,7,13
12,0,0,35,47,2,14
12,0,0,54,50,4,15
12,0,0,70,52,3,16
12,0,0,105,56,8,17
12,0,0,169,73,10,18
12,0,0,212,78,4,19
12,0,0,231,88,18,20
12,0,0,250,113,39,21
12,0,0,288,138,6,22
12,0,0,319,148,7,23
12,0,0,338,158,7,24
12,0,0,356,166,13,25
12,0,0,366,182,9,26
12,0,0,378,193,12,27
12,0,0,392,206,9,28
12,0,0,405,215,6,29
12,0,0,408,218,0,30
12,0,0,412,230,5,31
12,0,0,422,236,9,32
12,0,0,431,248,7,33
12,0,0,441,253,5,34
12,0,0,458,259,4,35
12,0,0,470,265,5,36
12,0,0,477,270,2,37
12,0,0,484,274,1,38
12,0,0,494,278,4,39
12,0,0,510,283,7,40
12,0,0,525,293,9,41
12,0,0,538,306,9,42
12,0,0,546,316,9,43
12,0,0,550,327,2,44
12,0,0,554,331,1,45
12,0,0,558,334,1,46
12,0,0,563,340,2,47
12,0,0,568,347,7,49
12,0,0,574,356,3,50
12,0,0,582,359,1,51
12,0,0,591,360,2,52
12,0,0,601,364,1,53
12,0,0,611,365,2,54
12,0,0,623,367,1,55
12,0,0,637,370,4,56
12,0,0,655,375,4,57
12,0,0,670,381,3,58
12,0,0,679,389,7,59
12,0,0,686,394,6,60
12,0,0,691,398,3,61
12,0,0,696,407,3,62
12,0,0,706,409,1,63
12,0,0,716,416,6,64
12,0,0,724,419,1,65
12,0,0,731,422,1,66
12,0,0,738,424,3,67
12,0,0,742,427,5,68
12,0,0,746,440,6,69
12,0,0,752,448,2,70
12,0,0,759,453,9,71
12,0,0,772,466,12,72
12,0,0,783,474,0,73
12,0,0,790,478,4,74
12,0,0,796,479,0,75
12,0,0,804,481,4,76
12,0,0,814,485,2,77
12,0,0,825,491,10,78
12,0,0,838,499,5,79
12,0,0,849,506,0,82
101,1,0,2,7,5,1
101,1,0,5,18,1,2
101,1,0,10,23,3,3
101,1,0,15,24,0,4
101,1,0,18,30,0,5
101,1,0,22,36,4,6
101,1,0,26,41,6,7
101,1,0,29,46,1,8
101,1,0,30,46,0,9
101,1,0,33,55,6,10
101,1,0,38,62,4,11
101,1,0,42,65,2,12
101,1,0,45,68,1,13
101,1,0,49,72,4,14
101,1,0,54,83,8,15
101,1,0,59,101,12,16
101,1,0,62,107,0,17
101,1,0,64,116,0,18
101,1,0,65,116,0,19
101,1,0,69,122,1,20
101,1,0,77,135,6,21
101,1,0,85,143,11,22
101,1,0,89,157,6,23
101,1,0,90,165,0,24
101,1,0,92,175,3,25
101,1,0,94,182,4,26
101,1,0,97,196,1,28
101,1,0,99,214,3,29
101,1,0,103,228,12,30
101,1,0,106,238,6,31
101,1,0,108,245,0,32
101,1,0,109,259,0,33
101,1,0,111,266,7,34
101,1,0,112,278,0,36
101,1,0,116,291,6,37
101,1,0,122,299,8,38
101,1,0,127,313,12,39
101,1,0,133,331,13,40
101,1,0,138,342,4,41
101,1,0,145,356,9,42
101,1,0,149,371,0,43
101,1,0,150,388,0,44
101,1,0,151,400,0,45
101,1,0,153,426,1,46
101,1,0,155,436,6,47
101,1,0,158,460,2,49
101,1,0,160,496,0,51
101,1,0,163,505,4,52
101,1,0,167,514,3,53
101,1,0,169,524,1,54
101,1,0,171,536,2,55
101,1,0,174,546,0,56
101,1,0,177,548,2,57
101,1,0,179,589,3,62
101,1,0,181,605,0,64
101,1,0,183,612,1,65
101,1,0,187,615,5,66
101,1,0,191,624,0,67
101,1,0,194,627,5,68
101,1,0,197,635,5,69
101,1,0,200,656,11,71
101,1,0,202,663,0,72
101,1,0,203,684,0,74
101,1,0,205,689,2,75
101,1,0,208,697,0,76
101,1,0,210,702,0,77
101,1,0,212,705,0,78
101,1,0,214,715,3,79
101,1,0,216,732,0,80
101,1,0,218,739,0,82
101,1,0,220,759,1,83
101,1,0,221,762,0,84
101,1,0,222,770,0,85
101,1,0,227,779,6,86
101,1,0,232,785,2,87
101,1,0,234,792,5,88
101,1,0,237,797,1,89
101,1,0,239,798,1,90
101,1,0,243,802,4,91
101,1,0,247,815,5,92
101,1,0,251,822,2,93
101,1,0,258,827,4,94
101,1,0,264,831,4,95
101,1,0,270,836,7,96
101,1,0,273,845,0,97
101,1,0,277,852,3,98
101,1,0,282,860,0,99
101,1,0,284,861,0,100
101,1,0,289,865,0,101
101,1,0,295,869,5,102
101,1,0,301,879,6,104
101,1,0,303,884,0,105
101,1,0,304,895,0,106
101,1,0,309,896,1,107
101,1,0,314,900,0,108
101,1,0,319,901,1,109
101,1,0,327,906,1,110
101,1,0,331,908,4,111
101,1,0,334,913,1,112
101,1,0,339,916,1,113
101,1,0,345,921,2,114
101,1,0,349,930,3,115
101,1,0,354,937,2,116
101,1,0,360,938,1,117
101,1,0,365,942,4,118
101,1,0,368,948,6,119
101,1,0,370,957,0,120
101,1,0,371,959,0,121
101,1,0,373,960,1,122
101,1,0,375,962,1,123
103,0,0,3,4,8,1
103,0,0,12,11,4,2
103,0,0,26,16,5,3
103,0,0,37,22,3,4
103,0,0,44,31,5,5
103,0,0,52,34,2,6
103,0,0,60,40,3,7
103,0,0,69,45,2,8
103,0,0,76,51,6,9
103,0,0,83,56,2,10
103,0,0,92,64,3,11
103,0,0,99,68,3,12
103,0,0,104,74,7,13
103,0,0,110,80,3,14
103,0,0,119,90,10,15
103,0,0,129,104,23,16
103,0,0,139,132,16,17
103,0,0,149,148,6,18
103,0,0,164,152,5,19
103,0,0,176,158,1,20
103,0,0,179,165,0,21
103,0,0,182,175,14,22
103,0,0,186,186,5,23
103,0,0,192,204,14,24
103,0,0,198,221,13,25
103,0,0,201,235,7,26
103,0,0,205,251,4,27
103,0,0,210,262,18,28
103,0,0,212,272,0,29
103,0,0,213,281,0,30
103,0,0,218,288,8,31
103,0,0,224,295,2,32
103,0,0,227,307,1,33
103,0,0,232,313,5,34
103,0,0,237,321,8,35
103,0,0,244,331,11,36
103,0,0,249,344,3,37
103,0,0,254,353,4,38
103,0,0,261,365,9,39
103,0,0,266,371,3,40
103,0,0,271,377,7,41
103,0,0,279,390,12,42
103,0,0,286,404,12,43
103,0,0,290,408,1,44
103,0,0,294,414,12,45
103,0,0,300,433,9,46
103,0,0,307,444,11,47
103,0,0,311,467,8,49
103,0,0,313,476,3,50
103,0,0,316,479,3,51
103,0,0,319,487,3,52
103,0,0,321,498,4,53
103,0,0,323,504,1,54
103,0,0,327,509,8,55
103,0,0,330,518,0,56
103,0,0,332,519,2,57
103,0,0,335,524,2,58
103,0,0,337,543,1,63
103,0,0,338,553,0,64
103,0,0,340,559,1,65
103,0,0,342,566,2,67
103,0,0,344,570,1,68
103,0,0,348,576,2,69
103,0,0,352,578,1,70
103,0,0,354,606,0,73
103,0,0,357,610,2,74
103,0,0,372,614,5,75
103,0,0,397,623,13,76
103,0,0,411,634,4,77
103,0,0,413,640,0,78
103,0,0,415,658,1,80
103,0,0,417,681,2,81
103,0,0,418,687,0,82
103,0,0,421,690,6,83
103,0,0,424,698,0,84
103,0,0,427,705,3,85
103,0,0,432,714,6,86
103,0,0,435,721,1,89
103,0,0,439,734,7,91
103,0,0,444,738,0,92
103,0,0,447,744,0,93
103,0,0,449,751,0,94
103,0,0,451,754,1,95
103,0,0,452,767,0,97
103,0,0,453,770,0,101
103,0,0,455,776,0,103
103,0,0,456,777,0,104
103,0,0,457,777,0,105
103,0,0,459,791,0,109
103,0,0,460,799,0,111
103,0,0,462,804,1,112
103,0,0,464,805,2,113
103,0,0,465,808,0,115
103,0,0,466,812,0,116
103,0,0,467,814,0,117
103,0,0,469,814,0,118
103,0,0,472,815,2,119
103,0,0,475,817,2,120
103,0,0,478,818,0,121
103,0,0,480,822,0,123
104,0,0,1,2,0,1
104,0,0,5,6,3,2
104,0,0,11,12,6,3
104,0,0,18,14,2,4
104,0,0,27,19,2,5
104,0,0,35,25,1,6
104,0,0,42,34,12,7
104,0,0,54,47,12,8
104,0,0,68,56,7,9
104,0,0,76,64,0,10
104,0,0,83,77,12,11
104,0,0,92,87,7,12
104,0,0,101,96,8,13
104,0,0,110,118,18,14
104,0,0,117,141,20,15
104,0,0,128,161,20,16
104,0,0,144,186,27,17
104,0,0,159,206,12,18
104,0,0,177,235,38,19
104,0,0,198,269,30,20
104,0,0,212,291,15,21
104,0,0,249,302,11,22
104,0,0,286,322,10,23
104,0,0,299,342,23,24
104,0,0,311,357,13,25
104,0,0,318,373,15,26
104,0,0,323,391,11,27
104,0,0,328,409,5,28
104,0,0,332,423,7,29
104,0,0,338,438,8,31
104,0,0,345,444,0,32
104,0,0,347,454,0,33
104,0,0,353,466,19,34
104,0,0,362,478,0,35
104,0,0,368,486,1,36
104,0,0,374,494,10,37
104,0,0,381,512,15,38
104,0,0,385,517,0,39
104,0,0,388,527,13,40
104,0,0,392,538,2,41
104,0,0,398,542,5,42
104,0,0,404,550,1,43
104,0,0,410,563,7,44
104,0,0,416,569,1,45
104,0,0,420,575,3,46
104,0,0,423,579,0,47
104,0,0,426,582,0,48
104,0,0,429,588,1,49
104,0,0,433,594,3,50
104,0,0,435,595,0,51
104,0,0,440,604,7,52
104,0,0,445,609,0,53
104,0,0,447,619,0,54
104,0,0,451,638,6,55
104,0,0,454,645,6,56
104,0,0,457,653,5,57
104,0,0,459,662,0,58
104,0,0,461,672,1,59
104,0,0,462,679,0,60
104,0,0,464,681,0,61
104,0,0,466,689,5,62
104,0,0,468,702,0,64
104,0,0,470,706,2,65
104,0,0,472,714,0,66
104,0,0,475,721,3,67
104,0,0,480,732,7,69
104,0,0,488,741,4,70
104,0,0,492,754,0,71
104,0,0,499,773,0,72
104,0,0,507,782,8,73
104,0,0,510,791,7,74
104,0,0,514,820,33,75
104,0,0,519,843,23,76
104,0,0,523,860,5,77
104,0,0,527,870,3,78
104,0,0,529,874,0,79
108,0,0,5,0,0,1
