owner,Gender,isGenderNeutral,totalCommit,revExp,review_count,tenure
"1","0","0","65","10","20","1"
"1","0","0","193","43","32","2"
"1","0","0","315","73","32","3"
"1","0","0","399","109","18","4"
"1","0","0","437","118","9","5"
"1","0","0","471","137","5","6"
"1","0","0","519","142","10","7"
"1","0","0","578","165","28","8"
"1","0","0","620","191","30","9"
"1","0","0","672","219","21","10"
"1","0","0","724","251","24","11"
"1","0","0","767","288","37","12"
"1","0","0","814","310","21","13"
"1","0","0","837","340","9","14"
"1","0","0","870","358","13","15"
"1","0","0","927","374","27","16"
"1","0","0","1008","401","32","17"
"1","0","0","1073","438","32","18"
"1","0","0","1110","476","47","19"
"1","0","0","1141","520","29","20"
"1","0","0","1172","548","18","21"
"1","0","0","1203","578","29","22"
"1","0","0","1223","604","28","23"
"1","0","0","1244","630","24","24"
"1","0","0","1260","653","28","25"
"1","0","0","1282","688","14","26"
"1","0","0","1299","690","0","27"
"1","0","0","1312","694","0","28"
"1","0","0","1326","695","0","29"
"1","0","0","1343","698","6","30"
"1","0","0","1360","702","1","31"
"1","0","0","1365","703","0","32"
"2","0","0","8","3","4","1"
"2","0","0","24","8","5","2"
"2","0","0","38","12","9","3"
"2","0","0","45","26","0","4"
"2","0","0","48","32","1","5"
"2","0","0","57","39","6","6"
"2","0","0","89","175","167","7"
"2","0","0","136","303","154","8"
"2","0","0","163","415","82","9"
"2","0","0","194","464","42","10"
"2","0","0","243","522","45","11"
"2","0","0","304","574","71","12"
"2","0","0","356","655","38","13"
"2","0","0","387","729","64","14"
"2","0","0","426","785","56","15"
"2","0","0","464","827","36","16"
"2","0","0","499","896","109","17"
"2","0","0","534","1015","98","18"
"2","0","0","575","1102","78","19"
"2","0","0","627","1179","58","20"
"2","0","0","664","1255","64","21"
"2","0","0","685","1296","45","22"
"2","0","0","714","1349","32","23"
"2","0","0","769","1413","98","24"
"2","0","0","839","1514","85","25"
"2","0","0","893","1589","67","26"
"2","0","0","959","1715","174","27"
"2","0","0","1031","1887","150","28"
"2","0","0","1104","2035","151","29"
"2","0","0","1185","2150","69","30"
"2","0","0","1264","2238","72","31"
"2","0","0","1328","2363","161","32"
"2","0","0","1383","2485","92","33"
"2","0","0","1446","2600","90","34"
"2","0","0","1514","2688","119","35"
"2","0","0","1568","2816","95","36"
"2","0","0","1611","2909","114","37"
"2","0","0","1657","3043","94","38"
"2","0","0","1715","3113","110","39"
"2","0","0","1766","3232","66","40"
"2","0","0","1797","3295","51","41"
"2","0","0","1858","3357","66","42"
"2","0","0","1928","3440","91","43"
"2","0","0","1966","3544","87","44"
"2","0","0","1999","3621","67","45"
"2","0","0","2024","3671","14","46"
"2","0","0","2042","3693","21","47"
"2","0","0","2064","3725","26","48"
"2","0","0","2089","3760","34","49"
"2","0","0","2137","3792","11","50"
"2","0","0","2182","3814","28","51"
"2","0","0","2231","3864","36","52"
"2","0","0","2286","3914","33","53"
"2","0","0","2316","3945","18","54"
"2","0","0","2344","3973","24","55"
"2","0","0","2367","3992","8","56"
"2","0","0","2393","4006","19","57"
"2","0","0","2423","4034","17","58"
"2","0","0","2485","4074","45","59"
"2","0","0","2571","4120","59","60"
"2","0","0","2660","4173","50","61"
"2","0","0","2718","4220","8","62"
"2","0","0","2772","4235","20","63"
"2","0","0","2843","4270","41","64"
"2","0","0","2887","4330","43","65"
"2","0","0","2932","4365","40","66"
"2","0","0","2978","4406","32","67"
"2","0","0","3033","4444","19","68"
"2","0","0","3089","4466","20","69"
"2","0","0","3130","4513","50","70"
"2","0","0","3154","4540","0","71"
"3","0","0","2","0","0","1"
"3","0","0","6","3","0","5"
"3","0","0","52","116","131","6"
"3","0","0","160","313","325","7"
"3","0","0","368","585","376","8"
"3","0","0","584","935","136","9"
"3","0","0","743","1115","196","10"
"3","0","0","872","1242","119","11"
"3","0","0","1015","1473","244","12"
"3","0","0","1281","1669","163","13"
"3","0","0","1514","1776","1354","14"
"3","0","0","1662","1893","69","15"
"3","0","0","1839","1982","114","16"
"3","0","0","2040","2124","131","17"
"3","0","0","2178","2214","87","18"
"3","0","0","2289","2320","101","19"
"3","0","0","2430","2404","72","20"
"3","0","0","2567","2473","62","21"
"3","0","0","2667","2570","108","22"
"3","0","0","2757","2674","88","23"
"3","0","0","2879","2757","120","24"
"3","0","0","3022","2890","97","25"
"3","0","0","3124","2966","51","26"
"3","0","0","3217","3072","105","27"
"3","0","0","3352","3154","87","28"
"3","0","0","3480","3247","65","29"
"3","0","0","3560","3287","52","30"
"3","0","0","3628","3356","54","31"
"3","0","0","3718","3446","94","32"
"3","0","0","3824","3533","66","33"
"3","0","0","3971","3607","83","34"
"3","0","0","4118","3730","111","35"
"3","0","0","4216","3841","109","36"
"3","0","0","4308","3946","108","37"
"3","0","0","4403","4055","87","38"
"3","0","0","4458","4127","24","39"
"3","0","0","4491","4194","92","40"
"3","0","0","4525","4248","15","41"
"3","0","0","4535","4261","0","42"
"3","0","0","4537","4269","4","44"
"3","0","0","4540","4288","2","45"
"3","0","0","4543","4309","9","46"
"3","0","0","4554","4327","5","47"
"3","0","0","4577","4354","41","48"
"3","0","0","4600","4391","26","49"
"3","0","0","4649","4432","37","50"
"3","0","0","4728","4495","89","51"
"3","0","0","4862","4617","205","52"
"3","0","0","4970","4766","13","53"
"3","0","0","4991","4782","5","54"
"3","0","0","5013","4817","61","55"
"3","0","0","5027","4853","0","56"
"3","0","0","5066","4877","27","58"
"3","0","0","5157","4911","33","59"
"3","0","0","5227","4945","17","60"
"3","0","0","5302","4975","56","61"
"3","0","0","5413","5036","55","62"
"3","0","0","5512","5107","151","63"
"3","0","0","5574","5341","79","64"
"3","0","0","5618","5409","50","65"
"3","0","0","5670","5453","50","66"
"3","0","0","5734","5515","57","67"
"3","0","0","5786","5546","8","68"
"3","0","0","5814","5589","56","69"
"3","0","0","5830","5628","1","82"
"3","0","0","5831","5636","0","88"
"3","0","0","5832","5641","0","94"
"3","0","0","5833","5646","0","98"
"3","0","0","5835","5660","2","102"
"3","0","0","5839","5665","8","103"
"3","0","0","5844","5674","3","104"
"3","0","0","5847","5683","1","105"
"3","0","0","5850","5687","3","106"
"3","0","0","5851","5692","0","107"
"3","0","0","5853","5698","0","108"
"3","0","0","5870","5704","10","109"
"3","0","0","5925","5732","42","110"
